Year,MAE,RMSE,R2
2005,0.3435413177699008,0.40322255927992623,-1.1602846527428858
2006,0.30490783199754184,0.37599525663872363,0.028951843898785357
2007,0.2679014798668129,0.3244588096133717,0.3559982536388976
2008,0.2074353551174517,0.22062694672180388,0.6431609280707806
2009,0.24367290465409985,0.3133423713164783,0.5223948403685267
2010,0.11865899449881824,0.15898659897375417,0.7572381293392604
2011,0.24161969199012073,0.30063641746196557,0.4261898389712123
2012,0.32287253098474666,0.47372739890177784,-0.7060037190671482
2013,0.33252472366782465,0.4327762438711976,-0.2233682145587228
2014,0.3650428679673224,0.45602455651778495,-0.14170577382776361
