Year,MAE,RMSE,R2
2005,0.5338555031001451,0.617624632261002,0.20333038625595723
2006,0.3533953834383553,0.44911866900879965,0.6442535699587051
2007,0.32002922558146224,0.38458724228994506,0.8297502062077342
2008,0.30151297882323935,0.5976215119829195,0.5053472932076872
2009,0.21748351900661772,0.2819527910432185,0.8813469177499443
2010,0.2895006446783578,0.48652001770672443,0.6188241140569569
2011,0.2061550555978078,0.2967967110369854,0.8244939001616254
2012,0.30208428575018936,0.6059712226809564,0.5001960224915403
2013,0.2558619922990767,0.3235648947335802,0.8491493611349834
2014,0.2924365886055221,0.4343453039963609,0.6850878489005439
