Division,Year,Season,Rain,Tmax,Tmin,Tmean,RH,Sunshine,Cloud,Wind,TempRange
Barisal,1949,Aman,770.0,32.7,21.2,26.95,76.2,31.672340425531914,2.94,0.6814814814814814,11.500000000000004
Barisal,1949,Aus,1444.0,34.325,25.1,29.7125,78.0,23.076595744680855,4.75,1.6694444444444443,9.225000000000001
Barisal,1949,Boro,17.0,33.333333333333336,15.9,24.616666666666664,63.333333333333336,24.278723404255317,1.0,0.732716049382716,17.433333333333337
Barisal,1950,Aman,961.0,32.6,21.82,27.21,80.0,31.672340425531914,4.82,0.6814814814814814,10.780000000000001
Barisal,1950,Aus,1175.0,34.85,25.4,30.125,82.25,23.076595744680855,5.525,1.6694444444444443,9.450000000000003
Barisal,1950,Boro,103.0,32.6,17.066666666666666,24.833333333333332,74.33333333333333,24.278723404255317,1.8,0.732716049382716,15.533333333333335
Barisal,1951,Aman,812.0,32.76,22.54,27.65,80.0,31.672340425531914,4.4399999999999995,0.6814814814814814,10.219999999999999
Barisal,1951,Aus,1020.0,35.2,25.525,30.3625,82.25,23.076595744680855,5.6,1.6694444444444443,9.675000000000004
Barisal,1951,Boro,67.0,32.03333333333333,16.599999999999998,24.316666666666666,74.33333333333333,24.278723404255317,1.7333333333333334,0.732716049382716,15.433333333333334
Barisal,1952,Aman,834.0,30.880000000000003,21.5,26.189999999999998,80.6,31.672340425531914,3.72,0.6814814814814814,9.380000000000003
Barisal,1952,Aus,1101.0,32.925,25.05,28.987499999999997,83.5,23.076595744680855,5.275,1.6694444444444443,7.8749999999999964
Barisal,1952,Boro,43.0,30.166666666666668,15.9,23.03333333333333,75.0,24.278723404255317,1.6333333333333335,0.732716049382716,14.266666666666667
Barisal,1953,Aman,386.0,32.96,22.18,27.570000000000004,81.4,31.672340425531914,3.34,0.6814814814814814,10.780000000000001
Barisal,1953,Aus,1626.0,35.85,25.25,30.55,84.0,23.076595744680855,5.85,1.6694444444444443,10.600000000000001
Barisal,1953,Boro,16.0,32.6,17.233333333333334,24.916666666666668,76.0,24.278723404255317,2.3000000000000003,0.732716049382716,15.366666666666667
Barisal,1954,Aman,680.0,32.019999999999996,21.88,26.95,83.0,31.672340425531914,3.9199999999999995,0.6814814814814814,10.139999999999997
Barisal,1954,Aus,844.0,35.8,25.775,30.7875,79.25,23.076595744680855,4.7,1.6694444444444443,10.024999999999999
Barisal,1954,Boro,59.0,32.63333333333333,17.03333333333333,24.833333333333332,70.0,24.278723404255317,0.9666666666666667,0.732716049382716,15.600000000000001
Barisal,1955,Aman,834.0,30.880000000000003,21.5,26.189999999999998,80.6,31.672340425531914,3.72,0.6814814814814814,9.380000000000003
Barisal,1955,Aus,1101.0,32.925,25.05,28.987499999999997,83.5,23.076595744680855,5.275,1.6694444444444443,7.8749999999999964
Barisal,1955,Boro,43.0,30.133333333333336,15.9,23.01666666666667,75.0,24.278723404255317,1.6333333333333335,0.732716049382716,14.233333333333336
Barisal,1956,Aman,1427.0,32.26,22.22,27.24,83.2,31.672340425531914,3.04,0.6814814814814814,10.04
Barisal,1956,Aus,1538.0,34.4,25.375,29.8875,83.25,23.076595744680855,5.05,1.6694444444444443,9.024999999999999
Barisal,1956,Boro,37.0,32.96666666666667,16.900000000000002,24.933333333333334,71.66666666666667,24.278723404255317,1.1333333333333333,0.732716049382716,16.066666666666666
Barisal,1957,Aman,554.0,32.64,22.06,27.35,80.4,31.672340425531914,2.98,0.6814814814814814,10.580000000000002
Barisal,1957,Aus,831.0,35.575,26.025,30.8,83.0,23.076595744680855,4.4,1.6694444444444443,9.550000000000004
Barisal,1957,Boro,117.0,32.43333333333334,17.133333333333336,24.783333333333335,76.66666666666667,24.278723404255317,1.4666666666666668,0.732716049382716,15.3
Barisal,1958,Aman,797.0,32.519999999999996,23.1,27.810000000000002,84.6,31.672340425531914,3.3600000000000003,0.6814814814814814,9.419999999999995
Barisal,1958,Aus,1003.0,35.375,25.975,30.675,84.0,23.076595744680855,4.475,1.6694444444444443,9.399999999999999
Barisal,1958,Boro,63.0,31.733333333333334,16.2,23.96666666666667,75.0,24.278723404255317,2.1333333333333333,0.732716049382716,15.533333333333335
Barisal,1959,Aman,1704.0,31.18,21.740000000000002,26.459999999999997,84.4,31.672340425531914,3.5200000000000005,0.6814814814814814,9.439999999999998
Barisal,1959,Aus,1445.0,35.425,25.525,30.475,81.25,23.076595744680855,4.925,1.6694444444444443,9.899999999999999
