District,Division,Year,Season,Area_ir,Area_rf,Area_total,Pct_irrigated,Planting_Month_w,Maturity_Month_w
Bagerhat,Khulna,2000,Aman,307.0,74366.0,74673.0,0.004111258420044729,7.0,11.995888741579956
Bagerhat,Khulna,2000,Aus,0.0,7253.0,7253.0,0.0,4.0,8.0
Bagerhat,Khulna,2000,Boro,24989.0,37493.0,62482.0,0.39993918248455557,5.399331007330111,4.600060817515445
Bagerhat,Khulna,2005,Aman,361.0,65288.0,65649.0,0.005498941339548203,7.0,11.994501058660452
Bagerhat,Khulna,2005,Aus,0.0,6367.0,6367.0,0.0,4.0,8.0
Bagerhat,Khulna,2005,Boro,29795.0,32916.0,62711.0,0.4751160083557909,6.226276091913699,4.524883991644209
Bagerhat,Khulna,2010,Aman,393.0,71778.0,72171.0,0.005445400507128902,7.0,11.99455459949287
Bagerhat,Khulna,2010,Aus,0.0,7000.0,7000.0,0.0,4.0,8.0
Bagerhat,Khulna,2010,Boro,32448.0,36188.0,68636.0,0.47275482254210616,6.2003030479631684,4.5272451774578935
Bagerhat,Khulna,2015,Aman,393.0,70302.0,70695.0,0.005559091873541269,7.0,11.994440908126458
Bagerhat,Khulna,2015,Aus,0.0,6856.0,6856.0,0.0,4.0,8.0
Bagerhat,Khulna,2015,Boro,32448.0,35444.0,67892.0,0.4779355446886231,6.2572909915748545,4.5220644553113765
Bandarban,Chittagong,2000,Aman,0.0,10189.0,10189.0,0.0,8.0,12.0
Bandarban,Chittagong,2000,Aus,0.0,9626.0,9626.0,0.0,4.0,8.0
Bandarban,Chittagong,2000,Boro,1941.0,4002.0,5943.0,0.32660272589601214,4.592629984856133,4.0
Bandarban,Chittagong,2005,Aman,0.0,8945.0,8945.0,0.0,8.0,12.0
Bandarban,Chittagong,2005,Aus,0.0,8451.0,8451.0,0.0,4.0,8.0
Bandarban,Chittagong,2005,Boro,2314.0,3513.0,5827.0,0.39711686974429383,5.368285567187232,4.0
Bandarban,Chittagong,2010,Aman,0.0,9834.0,9834.0,0.0,8.0,12.0
Bandarban,Chittagong,2010,Aus,0.0,9291.0,9291.0,0.0,4.0,8.0
Bandarban,Chittagong,2010,Boro,2520.0,3863.0,6383.0,0.39479868400438667,5.342785524048253,4.0
Bandarban,Chittagong,2015,Aman,0.0,9632.0,9632.0,0.0,8.0,12.0
Bandarban,Chittagong,2015,Aus,0.0,9100.0,9100.0,0.0,4.0,8.0
Bandarban,Chittagong,2015,Boro,2520.0,3783.0,6303.0,0.39980961446930036,5.397905759162303,4.0
Barguna,Barisal,2000,Aman,0.0,112504.0,112504.0,0.0,8.0,12.0
Barguna,Barisal,2000,Aus,0.0,50545.0,50545.0,0.0,5.0,8.0
Barguna,Barisal,2000,Boro,527.0,0.0,527.0,1.0,12.0,4.0
Barguna,Barisal,2005,Aman,0.0,98770.0,98770.0,0.0,8.0,12.0
Barguna,Barisal,2005,Aus,0.0,44375.0,44375.0,0.0,5.0,8.0
Barguna,Barisal,2005,Boro,3663.0,0.0,3663.0,1.0,12.0,4.0
Barguna,Barisal,2010,Aman,0.0,108588.0,108588.0,0.0,8.0,12.0
Barguna,Barisal,2010,Aus,0.0,48786.0,48786.0,0.0,5.0,8.0
Barguna,Barisal,2010,Boro,4725.0,0.0,4725.0,1.0,12.0,4.0
Barguna,Barisal,2015,Aman,0.0,106356.0,106356.0,0.0,8.0,12.0
Barguna,Barisal,2015,Aus,0.0,47783.0,47783.0,0.0,5.0,8.0
Barguna,Barisal,2015,Boro,4725.0,0.0,4725.0,1.0,12.0,4.0
Barisal,Barisal,2000,Aman,615.0,102101.0,102716.0,0.005987382686241676,7.994012617313758,11.994012617313759
Barisal,Barisal,2000,Aus,0.0,26758.0,26758.0,0.0,4.0,8.0
Barisal,Barisal,2000,Boro,29348.0,49824.0,79172.0,0.3706866063759915,5.077552670135907,4.0
Barisal,Barisal,2005,Aman,722.0,89637.0,90359.0,0.007990349605462655,7.992009650394538,11.992009650394538
Barisal,Barisal,2005,Aus,0.0,23491.0,23491.0,0.0,4.0,8.0
Barisal,Barisal,2005,Boro,33703.0,43741.0,77444.0,0.43519188058468056,5.787110686431486,4.0
Barisal,Barisal,2010,Aman,787.0,98548.0,99335.0,0.007922685860975488,7.992077314139024,11.992077314139024
Barisal,Barisal,2010,Aus,0.0,25827.0,25827.0,0.0,4.0,8.0
Barisal,Barisal,2010,Boro,43474.0,48089.0,91563.0,0.47479877242991164,6.222786496729028,4.0
Barisal,Barisal,2015,Aman,787.0,96522.0,97309.0,0.00808763834794315,7.991912361652057,11.991912361652057
Barisal,Barisal,2015,Aus,0.0,25296.0,25296.0,0.0,4.0,8.0
Barisal,Barisal,2015,Boro,43474.0,47101.0,90575.0,0.4799779188517803,6.2797571073695835,4.0
Bhola,Barisal,2000,Aman,0.0,195268.0,195268.0,0.0,7.0,12.0
Bhola,Barisal,2000,Aus,0.0,76598.0,76598.0,0.0,4.0,8.0
Bhola,Barisal,2000,Boro,16295.0,0.0,16295.0,1.0,12.0,4.0
Bhola,Barisal,2005,Aman,0.0,171430.0,171430.0,0.0,7.0,12.0
Bhola,Barisal,2005,Aus,0.0,67247.0,67247.0,0.0,4.0,8.0
Bhola,Barisal,2005,Boro,24178.0,0.0,24178.0,1.0,12.0,4.0
Bhola,Barisal,2010,Aman,0.0,188471.0,188471.0,0.0,7.0,12.0
Bhola,Barisal,2010,Aus,0.0,73932.0,73932.0,0.0,4.0,8.0
Bhola,Barisal,2010,Boro,31188.0,0.0,31188.0,1.0,12.0,4.0
Bhola,Barisal,2015,Aman,0.0,184596.0,184596.0,0.0,7.0,12.0
Bhola,Barisal,2015,Aus,0.0,72412.0,72412.0,0.0,4.0,8.0
Bhola,Barisal,2015,Boro,31188.0,0.0,31188.0,1.0,12.0,4.0
Bogra,Rajshahi,2000,Aman,21525.0,99654.0,121179.0,0.1776297873393905,7.0,11.82237021266061
Bogra,Rajshahi,2000,Aus,0.0,11746.0,11746.0,0.0,4.0,8.0
Bogra,Rajshahi,2000,Boro,112331.0,0.0,112331.0,1.0,12.0,4.0
Bogra,Rajshahi,2005,Aman,25279.0,87488.0,112767.0,0.22417019163407734,7.0,11.775829808365923
Bogra,Rajshahi,2005,Aus,0.0,10312.0,10312.0,0.0,4.0,8.0
Bogra,Rajshahi,2005,Boro,133932.0,0.0,133932.0,1.0,12.0,4.0
Bogra,Rajshahi,2010,Aman,27531.0,96185.0,123716.0,0.2225338678909761,7.0,11.777466132109025
Bogra,Rajshahi,2010,Aus,0.0,11337.0,11337.0,0.0,4.0,8.0
Bogra,Rajshahi,2010,Boro,145860.0,0.0,145860.0,1.0,12.0,4.0
Bogra,Rajshahi,2015,Aman,27531.0,94207.0,121738.0,0.22614959996057107,7.0,11.773850400039429
Bogra,Rajshahi,2015,Aus,0.0,11104.0,11104.0,0.0,4.0,8.0
Bogra,Rajshahi,2015,Boro,145860.0,0.0,145860.0,1.0,12.0,4.0
Brahmanbaria,Chittagong,2000,Aman,4612.0,34229.0,38841.0,0.11874050616616462,7.0,11.0
Brahmanbaria,Chittagong,2000,Aus,0.0,2053.0,2053.0,0.0,4.0,8.0
Brahmanbaria,Chittagong,2000,Boro,59441.0,52886.0,112327.0,0.5291782029253875,6.820960232179262,4.0
Brahmanbaria,Chittagong,2005,Aman,5417.0,30050.0,35467.0,0.15273352694053627,7.0,11.0
Brahmanbaria,Chittagong,2005,Aus,0.0,1802.0,1802.0,0.0,4.0,8.0
Brahmanbaria,Chittagong,2005,Boro,70871.0,46430.0,117301.0,0.6041806975217603,7.645987672739363,4.0
Brahmanbaria,Chittagong,2010,Aman,5899.0,33038.0,38937.0,0.15150114287181857,7.0,11.0
Brahmanbaria,Chittagong,2010,Aus,0.0,1981.0,1981.0,0.0,4.0,8.0
Brahmanbaria,Chittagong,2010,Boro,77183.0,51045.0,128228.0,0.6019200174688836,7.621120192157719,4.0
Brahmanbaria,Chittagong,2015,Aman,5899.0,32358.0,38257.0,0.15419400371173902,7.0,11.0
Brahmanbaria,Chittagong,2015,Aus,0.0,1941.0,1941.0,0.0,4.0,8.0
Brahmanbaria,Chittagong,2015,Boro,77183.0,49996.0,127179.0,0.6068847844376823,7.675732628814505,4.0
Chandpur,Chittagong,2000,Aman,0.0,22516.0,22516.0,0.0,7.0,12.0
Chandpur,Chittagong,2000,Aus,0.0,5098.0,5098.0,0.0,6.0,9.0
Chandpur,Chittagong,2000,Boro,28315.0,30092.0,58407.0,0.48478778228636976,6.332665605150067,4.0
Chandpur,Chittagong,2005,Aman,0.0,19768.0,19768.0,0.0,7.0,12.0
Chandpur,Chittagong,2005,Aus,0.0,4475.0,4475.0,0.0,6.0,9.0
Chandpur,Chittagong,2005,Boro,45705.0,26418.0,72123.0,0.6337090803211181,7.970799883532299,4.0
Chandpur,Chittagong,2010,Aman,0.0,21733.0,21733.0,0.0,7.0,12.0
Chandpur,Chittagong,2010,Aus,0.0,4920.0,4920.0,0.0,6.0,9.0
Chandpur,Chittagong,2010,Boro,49775.0,29044.0,78819.0,0.6315101688679126,7.946611857547039,4.0
Chandpur,Chittagong,2015,Aman,0.0,21286.0,21286.0,0.0,7.0,12.0
Chandpur,Chittagong,2015,Aus,0.0,4819.0,4819.0,0.0,6.0,9.0
Chandpur,Chittagong,2015,Boro,49775.0,28447.0,78222.0,0.6363299327554908,7.999629260310399,4.0
Chittagong,Chittagong,2000,Aman,3997.0,152309.0,156306.0,0.02557163512597085,7.0,11.97442836487403
Chittagong,Chittagong,2000,Aus,0.0,35722.0,35722.0,0.0,5.0,8.0
Chittagong,Chittagong,2000,Boro,39789.0,0.0,39789.0,1.0,12.0,4.0
Chittagong,Chittagong,2005,Aman,4695.0,133716.0,138411.0,0.03392071439408718,7.0,11.966079285605913
Chittagong,Chittagong,2005,Aus,0.0,31361.0,31361.0,0.0,5.0,8.0
Chittagong,Chittagong,2005,Boro,47440.0,0.0,47440.0,1.0,12.0,4.0
Chittagong,Chittagong,2010,Aman,5113.0,147008.0,152121.0,0.033611401450161386,7.0,11.96638859854984
Chittagong,Chittagong,2010,Aus,0.0,34479.0,34479.0,0.0,5.0,8.0
Chittagong,Chittagong,2010,Boro,51665.0,0.0,51665.0,1.0,12.0,4.0
Chittagong,Chittagong,2015,Aman,5113.0,143986.0,149099.0,0.03429265119149022,7.0,11.96570734880851
Chittagong,Chittagong,2015,Aus,0.0,33770.0,33770.0,0.0,5.0,8.0
Chittagong,Chittagong,2015,Boro,51665.0,0.0,51665.0,1.0,12.0,4.0
Chuadanga,Khulna,2000,Aman,32902.0,9571.0,42473.0,0.7746568408165188,7.0,11.225343159183481
Chuadanga,Khulna,2000,Aus,0.0,2588.0,2588.0,0.0,4.0,8.0
Chuadanga,Khulna,2000,Boro,25232.0,8918.0,34150.0,0.7388579795021962,9.127437774524157,4.261142020497804
Chuadanga,Khulna,2005,Aman,38641.0,8402.0,47043.0,0.8213974448908445,7.0,11.178602555109155
Chuadanga,Khulna,2005,Aus,0.0,2272.0,2272.0,0.0,4.0,8.0
Chuadanga,Khulna,2005,Boro,30084.0,7829.0,37913.0,0.7935009099781077,9.728510009759185,4.206499090021892
Chuadanga,Khulna,2010,Aman,42083.0,9238.0,51321.0,0.8199957132557822,7.0,11.180004286744218
