District,Division,Year,Production(tons),Area(ha),Yield_t_ha,Season
Khulna,Khulna,2006,5557.0,4350.370654079999,1.2773624230818958,Aus
Jessor,Khulna,2006,75625.0,29347.8027752448,2.5768538987113043,Aus
Satkhira,Khulna,2006,3606.0,1505.4305891328,2.3953279719639737,Aus
Chuadanga,Khulna,2006,15796.0,8360.805368678399,1.889291677471125,Aus
Chittagong,Chittagong,2006,86859.0,37164.3059551104,2.337161902200307,Aus
Cox's Bazar,Chittagong,2006,1897.0,698.0827328639999,2.7174429486563056,Aus
Chandpur,Chittagong,2006,24838.0,15171.6647275776,1.63713082552186,Aus
Feni,Chittagong,2006,25262.0,13935.3500905344,1.8127998102580316,Aus
Comilla,Chittagong,2006,90069.0,47034.588769344,1.914952428768864,Aus
Rangamati,Chittagong,2006,7989.0,5175.9293642496,1.5434909245826305,Aus
Noakhali,Chittagong,2006,56648.0,33246.9489382272,1.7038555960503905,Aus
Khagrachhari,Chittagong,2006,5111.0,2664.8549541504,1.9179280253282949,Aus
Dinajpur,North region,2006,14343.0,7794.245469542399,1.8402037831690303,Aus
Rangpur,North region,2006,0.0,0.0,,Aus
Rajshahi,North region,2006,67169.0,31130.443029312,2.157662836238938,Aus
Bogura,North region,2006,15891.0,8474.117348505599,1.875239549615437,Aus
Khulna,Khulna,2007,8060.0,5542.1698704768,1.4543040340455295,Aus
Jessor,Khulna,2007,80571.0,35070.0577565184,2.2974299204005284,Aus
Satkhira,Khulna,2007,2955.0,1284.876914112,2.2998311881432243,Aus
Chuadanga,Khulna,2007,19851.0,11151.1128719232,1.780181066051424,Aus
Chittagong,Chittagong,2007,93523.0,40306.689967104,2.3202847982885246,Aus
Cox's Bazar,Chittagong,2007,1837.0,714.2701585535999,2.5718560099443786,Aus
Chandpur,Chittagong,2007,15610.0,9489.878310528,1.6449104497665037,Aus
Feni,Chittagong,2007,18206.0,13259.5250679936,1.3730506867056955,Aus
Comilla,Chittagong,2007,50677.0,31312.55156832,1.6184244803375172,Aus
Rangamati,Chittagong,2007,8723.0,6246.322887974399,1.3965016148610845,Aus
Noakhali,Chittagong,2007,47722.0,39683.4740780544,1.2025660834566658,Aus
