Year,MAE,RMSE,R2
2005,0.30964880889055896,0.38587044529096876,-0.9783556570811962
2006,0.2886872526878642,0.38385232341471903,-0.012055625029819161
2007,0.28740448540766833,0.34155130019969576,0.2863590052579783
2008,0.2496634944730303,0.2971563582316708,0.35267057891061404
2009,0.25912899456551125,0.3527568969566521,0.3946845127315963
2010,0.21955787541211394,0.27115872841690275,0.2938343073923406
2011,0.30922342748976683,0.34799193559690056,0.23118221939671824
2012,0.3639058728890752,0.4862324893205937,-0.7972600259442391
2013,0.23121106597118957,0.2865220682417576,0.463775663159244
2014,0.37661869110314916,0.47507232502467944,-0.23907387808934377
